u_eigen,i_eigen,b_eigen,ndcg,recall,precision
110,250,375,0.07508379553182543,0.10483563625507486,0.031026860472905083
135,250,175,0.07505825866581624,0.1050413916320859,0.031095518788934295
135,250,100,0.07502405972621397,0.1050069061361234,0.031080447451269345
35,250,400,0.07502208060203669,0.10502154959178979,0.031117288498894762
135,250,125,0.07502187587687269,0.10493520821013992,0.031072074485899926
135,250,150,0.07502067292888709,0.10496978063498215,0.031077098265121582
135,250,75,0.07499830954917354,0.10497837588753528,0.031073749078973808
135,250,50,0.07493013195980976,0.10489871847025507,0.031062026927456618
10,250,400,0.07492295163506042,0.10488448150924068,0.031073749078973815
110,250,350,0.07466374393069987,0.10427078295796967,0.03085270279322125
85,250,375,0.07457474403958152,0.10428811273539507,0.030852702793221245
110,250,325,0.0745157100543007,0.10412427558701624,0.03081921093174359
110,250,300,0.07449051481434926,0.10417990320494026,0.030827583897113
110,250,275,0.07443734590131348,0.10416593341534852,0.030837631455556305
60,250,375,0.07443726946287045,0.10411187595402009,0.030832607676334643
110,250,250,0.07438432072972848,0.10409103921699003,0.0308192109317436
110,250,225,0.07432609712909641,0.10399228436175578,0.030790742849487577
35,250,375,0.07428563285530988,0.1039946780364833,0.030809163373300284
110,250,200,0.07424716406189337,0.10391948626036424,0.030777346104896516
110,250,175,0.07421289128890918,0.10389821202975277,0.03075892558108379
10,250,375,0.07420987387166889,0.10385543945311343,0.0307672985464532
110,250,150,0.07417652316893127,0.103836827108932,0.03075892558108379
110,250,125,0.0741334394061187,0.1037351948122874,0.030730457498827784
110,250,100,0.07404382873732038,0.10361978031000534,0.030705338602719543
110,250,75,0.0740406801506494,0.1036322467149358,0.030715386161162844
85,250,350,0.07401546861183926,0.10343331556478348,0.030624958135173144
110,250,50,0.07399063832143732,0.10357183629693269,0.03070198941657177
85,250,325,0.0739567574746523,0.10345451195433226,0.030623283542099262
85,250,300,0.07392445888058652,0.10344304670519687,0.030613235983655965
60,250,350,0.07391644126773102,0.10337656318508592,0.030623283542099266
85,250,275,0.07386641818652484,0.10344119762063356,0.030618259762877614
35,250,350,0.07381892888525793,0.10333287702252641,0.030614910576729857
85,250,250,0.07380660262849689,0.10338013131285352,0.030604863018286566
60,250,325,0.07379589096352128,0.10322516323508418,0.03058476790139996
85,250,225,0.07375951236731963,0.10332592476917254,0.030593140866769383
60,250,300,0.07370778584535137,0.10300273798764456,0.030527831736887924
85,250,200,0.07368898661203216,0.10327154548761255,0.030562998191439483
10,250,350,0.07368736379441261,0.10311773317144556,0.03055462522607006
35,250,325,0.07368427817803876,0.10324428898377146,0.03058309330832608
60,250,275,0.07366398377150284,0.10300401682308258,0.030539553888405114
85,250,175,0.07361707771238507,0.10319908279760072,0.030539553888405114
35,250,300,0.07358943461252009,0.10300307117041169,0.03052280795766628
60,250,250,0.07358923539312302,0.10289935766876811,0.030529506329961816
85,250,150,0.07358179794634984,0.10310259352255524,0.030534530109183465
10,250,325,0.07356326371434802,0.1030374986538951,0.030531180923035712
60,250,225,0.07355829528374977,0.10284949858484861,0.030511085806149103
85,250,125,0.07353241735187872,0.10304390212584429,0.03052280795766628
35,250,275,0.07352927353426393,0.1029666218614381,0.030511085806149106
60,250,200,0.0735232858941494,0.10289304967210824,0.030506062026927457
35,250,250,0.07348260865903157,0.10293033031501131,0.03050773662000134
10,250,300,0.07347963738476598,0.10285621073068434,0.030485966910040865
85,250,100,0.07347770915724458,0.10299233328175786,0.030514434992296873
60,250,175,0.07346887749271253,0.10287749245040141,0.030490990689262507
85,250,75,0.07343532347917628,0.10298293790727919,0.030499363654631923
60,250,150,0.07341838123135652,0.10274534750126632,0.030474244758523675
10,250,275,0.07340658562947099,0.10275430173830952,0.030459173420858725
35,250,225,0.07339245386404189,0.10279603795821983,0.03047591935159756
60,250,125,0.07337572228548513,0.10267913063702037,0.030465871793154266
35,250,200,0.07334130596173741,0.10276073403340182,0.030445776676267668
10,250,250,0.07330845314448056,0.1026394766099102,0.03042903074552883
60,250,100,0.07330654820629776,0.10261870278749896,0.030445776676267675
35,250,175,0.07327455740469177,0.1026899867618403,0.03043740371089826
85,250,50,0.07324981389669721,0.10274088302682098,0.03043907830397213
10,250,225,0.07324770287768483,0.10255136385963733,0.030418983187085528
60,250,75,0.0732224686556885,0.10256117828373743,0.030417308594011653
10,250,200,0.07321486723480168,0.10255727222050115,0.03039721347712506
35,250,150,0.07320367671806312,0.10254886112285627,0.030415634000937775
35,250,125,0.07315713682739758,0.10246680963246564,0.030395538884051165
10,250,175,0.07314159244426194,0.10247359286986864,0.030378792953312347
10,250,150,0.07309613617853913,0.10230941856321554,0.030357023243351877
35,250,100,0.07308440071534632,0.10238699904400435,0.03035032487105632
60,250,50,0.07308068667219927,0.10244562120454066,0.030380467546386233
10,250,125,0.07305783192438474,0.10232134269411046,0.030350324871056333
10,250,100,0.07295953516664178,0.10222646057057118,0.03033022975416974
35,250,75,0.0729561576080554,0.1022029363112665,0.030311809230357017
10,250,75,0.0728494223428727,0.1020315732786953,0.030288364927322654
35,250,50,0.0728299980862762,0.10207513330229216,0.030278317368879364
10,250,50,0.07271174019973912,0.10187855116033673,0.030244825507401697
135,225,400,0.0711006536828464,0.09947731964972949,0.02947451269341549
135,225,375,0.07029395067022236,0.09833833256304243,0.029147967044008304
110,225,400,0.0702787068377278,0.09858370342039334,0.029194855650077022
135,225,350,0.06998818901939495,0.09806555096477763,0.029047491459575334
135,225,325,0.06971650391582576,0.0976415897501841,0.028923571572107967
135,225,300,0.06967627460242876,0.09766365733221088,0.028913524013664677
135,225,275,0.06959269984121684,0.09754579311362116,0.028893428896778085
85,225,400,0.06957556817174962,0.09783225003951755,0.02896543639895506
135,225,225,0.06956448445276425,0.09754428160738696,0.028880032152187027
135,225,250,0.06956357151227377,0.0974971930319699,0.028875008372965368
110,225,375,0.06952904087311303,0.0975156594698228,0.028863286221448195
135,225,200,0.06952279479609547,0.09763224169205881,0.028893428896778078
135,225,175,0.06949427553704006,0.09768010600312636,0.02888505593140866
135,225,150,0.069426978655681,0.09754537056024502,0.02886328622144818
135,225,100,0.0694206580201846,0.09765790318451135,0.028891754303704206
135,225,125,0.06940194742376045,0.09756641812356262,0.028863286221448195
60,225,400,0.06937297549472411,0.09758335798500727,0.028910174827516906
135,225,75,0.06936909942766882,0.09761368420273091,0.02887500837296537
35,225,400,0.06917608279975679,0.0973656112866605,0.028831468953044413
110,225,350,0.06916314329637377,0.09720728475587279,0.02874773929935025
